0 Air (minecraft:air)
375 Spider_Eye (minecraft:spider_eye)
376 Fermented_Spider_Eye (minecraft:fermented_spider_eye)
377 Blaze_Powder (minecraft:blaze_powder)
378 Magma_Cream (minecraft:magma_cream)
379 Brewing_Stand (minecraft:brewing_stand)
380 Cauldron (minecraft:cauldron)
381 Eye_of_Ender (minecraft:ender_eye)
382 Glistering_Melon (minecraft:speckled_melon)
383:4 Spawn_Elder_Guardian (minecraft:spawn_egg)
383:5 Spawn_Wither_Skeleton (minecraft:spawn_egg)
383:6 Spawn_Stray (minecraft:spawn_egg)
383:23 Spawn_Husk (minecraft:spawn_egg)
383:27 Spawn_Zombie_Villager (minecraft:spawn_egg)
383:28 Spawn_Skeleton_Horse (minecraft:spawn_egg)
383:29 Spawn_Zombie_Horse (minecraft:spawn_egg)
383:31 Spawn_Donkey (minecraft:spawn_egg)
383:32 Spawn_Mule (minecraft:spawn_egg)
383:34 Spawn_Evoker (minecraft:spawn_egg)
383:35 Spawn_Vex (minecraft:spawn_egg)
383:36 Spawn_Vindicator (minecraft:spawn_egg)
383:50 Spawn_Creeper (minecraft:spawn_egg)
383:51 Spawn_Skeleton (minecraft:spawn_egg)
383:52 Spawn_Spider (minecraft:spawn_egg)
383:54 Spawn_Zombie (minecraft:spawn_egg)
383:55 Spawn_Slime (minecraft:spawn_egg)
383:56 Spawn_Ghast (minecraft:spawn_egg)
383:57 Spawn_Zombie_Pigman (minecraft:spawn_egg)
383:58 Spawn_Enderman (minecraft:spawn_egg)
383:59 Spawn_Cave_Spider (minecraft:spawn_egg)
383:60 Spawn_Silverfish (minecraft:spawn_egg)
383:61 Spawn_Blaze (minecraft:spawn_egg)
383:62 Spawn_Magma_Cube (minecraft:spawn_egg)
383:65 Spawn_Bat (minecraft:spawn_egg)
383:66 Spawn_Witch (minecraft:spawn_egg)
383:67 Spawn_Endermite (minecraft:spawn_egg)
383:68 Spawn_Guardian (minecraft:spawn_egg)
383:69 Spawn_Shulker (minecraft:spawn_egg)
383:90 Spawn_Pig (minecraft:spawn_egg)
383:91 Spawn_Sheep (minecraft:spawn_egg)
383:92 Spawn_Cow (minecraft:spawn_egg)
383:93 Spawn_Chicken (minecraft:spawn_egg)
383:94 Spawn_Squid (minecraft:spawn_egg)
383:95 Spawn_Wolf (minecraft:spawn_egg)
383:96 Spawn_Mooshroom (minecraft:spawn_egg)
383:98 Spawn_Ocelot (minecraft:spawn_egg)
383:100 Spawn_Horse (minecraft:spawn_egg)
383:101 Spawn_Rabbit (minecraft:spawn_egg)
383:102 Spawn_Polar_Bear (minecraft:spawn_egg)
383:103 Spawn_Llama (minecraft:spawn_egg)
383:105 Spawn_Parrot (minecraft:spawn_egg)
383:120 Spawn_Villager (minecraft:spawn_egg)
384 Bottle_o_Enchanting (minecraft:experience_bottle)
385 Fire_Charge (minecraft:fire_charge)
386 Book_and_Quill (minecraft:writable_book)
387 Written_Book (minecraft:written_book)
388 Emerald (minecraft:emerald)
389 Item_Frame (minecraft:item_frame)
390 Flower_Pot (minecraft:flower_pot)
391 Carrot (minecraft:carrot)
392 Potato (minecraft:potato)
393 Baked_Potato (minecraft:baked_potato)
394 Poisonous_Potato (minecraft:poisonous_potato)
395 Empty_Map (minecraft:map)
396 Golden_Carrot (minecraft:golden_carrot)
397 Mob_Head_Skeleton (minecraft:skull)
397:1 Mob_Head_Wither_Skeleton (minecraft:skull)
397:2 Mob_Head_Zombie (minecraft:skull)
397:3 Mob_Head_Human (minecraft:skull)
397:4 Mob_Head_Creeper (minecraft:skull)
397:5 Mob_Head_Dragon (minecraft:skull)
398 Carrot_on_a_Stick (minecraft:carrot_on_a_stick)
399 Nether_Star (minecraft:nether_star)
400 Pumpkin_Pie (minecraft:pumpkin_pie)
401 Firework_Rocket (minecraft:fireworks)
402 Firework_Star (minecraft:firework_charge)
403 Enchanted_Book (minecraft:enchanted_book)
404 Redstone_Comparator (minecraft:comparator)
405 Nether_Brick (minecraft:netherbrick)
406 Nether_Quartz (minecraft:quartz)
407 Minecart_with_TNT (minecraft:tnt_minecart)
408 Minecart_with_Hopper (minecraft:hopper_minecart)
409 Prismarine_Shard (minecraft:prismarine_shard)
410 Prismarine_Crystals (minecraft:prismarine_crystals)
411 Raw_Rabbit (minecraft:rabbit)
412 Cooked_Rabbit (minecraft:cooked_rabbit)
413 Rabbit_Stew (minecraft:rabbit_stew)
414 Rabbit's_Foot (minecraft:rabbit_foot)
415 Rabbit_Hide (minecraft:rabbit_hide)
416 Armor_Stand (minecraft:armor_stand)
417 Iron_Horse_Armor (minecraft:iron_horse_armor)
418 Golden_Horse_Armor (minecraft:golden_horse_armor)
419 Diamond_Horse_Armor (minecraft:diamond_horse_armor)
420 Lead (minecraft:lead)
421 Name_Tag (minecraft:name_tag)
422 Minecart_with_Command_Block (minecraft:command_block_minecart)
423 Raw_Mutton (minecraft:mutton)
424 Cooked_Mutton (minecraft:cooked_mutton)
425 Banner (minecraft:banner)
426 End_Crystal (minecraft:end_crystal)
427 Spruce_Door (minecraft:spruce_door)
428 Birch_Door (minecraft:birch_door)
429 Jungle_Door (minecraft:jungle_door)
430 Acacia_Door (minecraft:acacia_door)
431 Dark_Oak_Door (minecraft:dark_oak_door)
432 Chorus_Fruit (minecraft:chorus_fruit)
433 Popped_Chorus_Fruit (minecraft:popped_chorus_fruit)
434 Beetroot (minecraft:beetroot)
435 Beetroot_Seeds (minecraft:beetroot_seeds)
436 Beetroot_Soup (minecraft:beetroot_soup)
437 Dragon's_Breath (minecraft:dragon_breath)
438 Splash_Potion (minecraft:splash_potion)
439 Spectral_Arrow (minecraft:spectral_arrow)
440 Tipped_Arrow (minecraft:tipped_arrow)
441 Lingering_Potion (minecraft:lingering_potion)
442 Shield (minecraft:shield)
443 Elytra (minecraft:elytra)
444 Spruce_Boat (minecraft:spruce_boat)
445 Birch_Boat (minecraft:birch_boat)
445 Birch_Boat (minecraft:birch_boat)
446 Jungle_Boat (minecraft:jungle_boat)
447 Acacia_Boat (minecraft:acacia_boat)
448 Dark_Oak_Boat (minecraft:dark_oak_boat)
449 Totem_of_Undying (minecraft:totem_of_undying)
450 Shulker_Shell (minecraft:shulker_shell)
452 Iron_Nugget (minecraft:iron_nugget)
453 Knowledge_Book (minecraft:knowledge_book)
2256 13_Disc (minecraft:record_13)
2257 Cat_Disc (minecraft:record_cat)
2258 Blocks_Disc (minecraft:record_blocks)
2259 Chirp_Disc (minecraft:record_chirp)
2260 Far_Disc (minecraft:record_far)
2261 Mall_Disc (minecraft:record_mall)
2262 Mellohi_Disc (minecraft:record_mellohi)
2263 Stal_Disc (minecraft:record_stal)
2264 Strad_Disc (minecraft:record_strad)
2265 Ward_Disc (minecraft:record_ward)
2266 11_Disc (minecraft:record_11)
2267 Wait_Disc (minecraft:record_wait)
